x_x,x_y,x_z,v_x,v_y,v_z,q0,q1,q2,q3,w_x,w_y,w_z,W1,W2,W3,W4,B_x,B_y,B_z,S_x,S_y,S_z,P,I
5.622631924605318345e+06,-3.820470223782090005e+06,1.071188164050359046e+05,2.598572345254239281e+03,3.990515268665896656e+03,5.992813362028196934e+03,4.289095455051261108e-01,7.474635730393281996e-01,3.762962114962992155e-01,3.401998970714122383e-01,1.386921032801684273e-01,2.041669901744869176e-02,3.820525583846225842e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.576125966663322509e-06,1.979406511720840602e-05,-1.504881825667029356e-05,-1.461278754030737037e-01,-2.396198142558244315e-01,-9.598067454681635802e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.623930317763085477e+06,-3.818474359513880685e+06,1.101152058627811784e+05,2.595000148540342707e+03,3.992941592727376701e+03,5.992744150804207493e+03,3.976224778875149801e-01,7.636329989533470197e-01,3.831386553858635580e-01,3.346128789171493034e-01,1.393738510021542421e-01,1.982964969892303184e-02,3.555606285530006627e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.088017208245389166e-06,1.865104671663270680e-05,-1.639144875225562027e-05,-1.415576136783284200e-01,-3.031135379461006307e-01,-9.423818892166249128e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.625226924616677687e+06,-3.816477282400869764e+06,1.131115602376935713e+05,2.591427128745501250e+03,3.995366647746541730e+03,5.992673030700966592e+03,3.659584777209353712e-01,7.786506690233546690e-01,3.899865739426101041e-01,3.281584988357958421e-01,1.400050461455048523e-01,1.937366043597387941e-02,3.288927983567265650e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.562474476335191458e-06,1.740429063223014676e-05,-1.765136595595769055e-05,-1.381480744923773984e-01,-3.658015184757869021e-01,-9.203827239767471413e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.626521744754840620e+06,-3.814478993077769876e+06,1.161078785753398843e+05,2.587853287007892050e+03,3.997790432953843265e+03,5.992600001744257497e+03,3.339522309817046231e-01,7.924704574622194464e-01,3.968555676713894087e-01,3.208927233207107266e-01,1.405862306145152507e-01,1.904942481815536173e-02,3.020825425450086518e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000634906546217989e-06,1.606148089344749377e-05,-1.882066067319063411e-05,-1.356861091601838376e-01,-4.273028146692028351e-01,-8.938688854394404304e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.627814777766886167e+06,-3.812479492179680150e+06,1.191041599212999572e+05,2.584278624465913708e+03,4.000212947580067521e+03,5.992525063960380976e+03,3.016377534219119583e-01,8.050489511077622007e-01,4.037578322132858166e-01,3.128745195079042918e-01,1.411177283880462874e-01,1.885743731126657274e-02,2.751621853501720269e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.404437157354528996e-06,1.463085404156734056e-05,-1.989187333554836619e-05,-1.339575706163537994e-01,-4.872466102954234324e-01,-8.629287977754506178e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.629106023242696188e+06,-3.810478780342081562e+06,1.221004033211668575e+05,2.580703142258179923e+03,4.002634190856327677e+03,5.992448217376133471e+03,2.690484506960069688e-01,8.163455719884747941e-01,4.107020338480956712e-01,3.041655431930546660e-01,1.415996339767435497e-01,1.879799948417547328e-02,2.481630729638635222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.776550785888390245e-06,1.312115467210958801e-05,-2.085806016671546412e-05,-1.327515609864106938e-01,-5.452737796745995569e-01,-8.276796048321158894e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.630395480772722512e+06,-3.808476858200842980e+06,1.250966078205472440e+05,2.577126841523511303e+03,4.005054162014051599e+03,5.992369462018798004e+03,2.362171872356729763e-01,8.263226985297824623e-01,4.176932042671181455e-01,2.948298245734189971e-01,1.420318033594092644e-01,1.887122420621691748e-02,2.211157568612890159e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.120294897474695668e-06,1.154159154590341389e-05,-2.171285537439396031e-05,-1.318645536882147307e-01,-6.010383935637978459e-01,-7.882668259814422651e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.631683149947987869e+06,-3.806473726392215583e+06,1.280927724650614546e+05,2.573549723400931271e+03,4.007472860284976377e+03,5.992288797916126896e+03,2.031763625458675726e-01,8.349457861213015475e-01,4.247326546933971603e-01,2.849334518409721850e-01,1.424138474278146826e-01,1.907703773171472161e-02,1.940501851245242035e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.439547245481964902e-06,9.901793926488017180e-06,-2.245052865944613174e-05,-1.311043382553658820e-01,-6.542091872979158840e-01,-7.448637403885512986e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.632969030360082164e+06,-3.804469385552833788e+06,1.310888963003438548e+05,2.569971789029666070e+03,4.009890284901134692e+03,5.992206225096337221e+03,1.699579935884656945e-01,8.421834876082359145e-01,4.318179095241493903e-01,2.745442525889132956e-01,1.427451279779547444e-01,1.941517962685495105e-02,1.669958989632782526e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.738645037956764835e-06,8.211767703791227172e-06,-2.306603740104014972e-05,-1.302937387121945179e-01,-7.044710114384638011e-01,-6.976705065396315852e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.634253121601166204e+06,-3.802463836319717579e+06,1.340849783720430278e+05,2.566393039549135210e+03,4.012306435094852986e+03,5.992121743588094432e+03,1.365938019129984971e-01,8.480077740942590925e-01,4.389426597798510854e-01,2.637314728659482244e-01,1.430247562957264185e-01,1.988520053285443637e-02,1.399822316692458588e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.022278782835174141e-06,6.481850786924590383e-06,-2.355507294847053413e-05,-1.292740583466362725e-01,-7.515262826498189108e-01,-6.469130268630668423e-01,0.000000000000000000e+00,0.000000000000000000e+00
