x_x,x_y,x_z,v_x,v_y,v_z,q0,q1,q2,q3,w_x,w_y,w_z,W1,W2,W3,W4,B_x,B_y,B_z,q_e_norm
5.622573054410097189e+06,-3.820480094112477731e+06,1.071314725959275384e+05,2.597366604343826111e+03,3.990567102118626281e+03,5.993368114974985474e+03,4.298878004739332126e-01,7.424751261549982218e-01,3.833070915197237527e-01,3.441022422923392665e-01,1.367780946732898295e-01,2.075495418612034737e-02,3.975587876901586631e-02,-1.284290872400529907e-04,-3.260628084466215063e-04,-1.149044002832861684e-04,7.968462792081192243e-05,1.034440065698683135e-06,2.087458406997500578e-05,-1.362739237582056924e-05,-6.566455965473227963e-04
5.623870838031287305e+06,-3.818484199391114525e+06,1.101281393524361338e+05,2.593767741990359355e+03,3.993011570436111469e+03,5.993298591412411042e+03,3.988888530499689056e-01,7.590678843780269691e-01,3.893516122238821486e-01,3.385562379755747697e-01,1.371684365976513220e-01,1.854816455277565057e-02,4.053246502089923042e-02,-4.895858532836425646e-05,-1.104280682546998865e-04,8.075642090815190338e-05,-1.156001018322952185e-05,1.562101129515548097e-06,1.977098990379213802e-05,-1.499900481264562627e-05,-7.173897523455874392e-04
5.625166822013750672e+06,-3.816487082755000796e+06,1.131247708676986367e+05,2.590168049631528902e+03,3.995454760989729493e+03,5.993227149994341744e+03,3.679006784021338072e-01,7.740582511159820323e-01,3.962608634552788334e-01,3.317839331118018209e-01,1.376497529079380444e-01,1.835911718810421395e-02,3.344910319310590019e-02,-4.973409666309755857e-05,-5.280782124006690149e-05,2.181748352802055592e-04,4.715219679696558327e-05,2.002356742826329429e-06,1.860648825985074077e-05,-1.637144145432144169e-05,-7.714812693211392514e-04
5.626461005942774005e+06,-3.814488744843213353e+06,1.161213661827929609e+05,2.586567528419234804e+03,3.997896672997659607e+03,5.993153790743642276e+03,3.357116059056913793e-01,7.881297360864191193e-01,4.030918955109930035e-01,3.246583843192083485e-01,1.404554907899935035e-01,2.026961344153770453e-02,3.330757907143806762e-02,-1.417876094165195975e-04,-6.031406284042557033e-05,-2.102152629143310726e-04,1.445169152313292512e-04,2.583095778179026369e-06,1.740555949383124613e-05,-1.761539801119509416e-05,-8.309483644834969596e-04
5.627753389404219575e+06,-3.812489186295220628e+06,1.191179243388086616e+05,2.582966179505645414e+03,4.000337305678490793e+03,5.993078513683784877e+03,3.033078755964127016e-01,8.007779031785049462e-01,4.104401343956362580e-01,3.164716347773701144e-01,1.415908436479246801e-01,1.981432390005024441e-02,2.824338984399843086e-02,8.027840556636902812e-05,1.142547208145311855e-04,-1.216544952235015814e-04,-1.907215458859063621e-04,3.013798896279511204e-06,1.602715939460917289e-05,-1.880539225861397443e-05,-8.888467999657034824e-04
5.629043971984521486e+06,-3.810488407750883140e+06,1.221144443768471683e+05,2.579364004043191471e+03,4.002776658251219487e+03,5.993001318838860243e+03,2.708044422099703530e-01,8.123703901950677375e-01,4.177507150438125594e-01,3.068916176917094729e-01,1.428557090122708761e-01,1.681141644314106467e-02,2.507201395090534468e-02,1.255743506313611996e-05,5.825412985524327944e-05,-4.927680643388629683e-05,1.073973023102414037e-04,3.475935174355989682e-06,1.463815442471922556e-05,-1.989978525504841473e-05,-9.514103750658531311e-04
5.630332753270694986e+06,-3.808486409850448836e+06,1.251109253380220616e+05,2.575761003184569290e+03,4.005214729935254127e+03,5.992922206233568431e+03,2.374949261519375132e-01,8.229891752578407660e-01,4.244016456893457412e-01,2.971100352703292535e-01,1.439334532632094155e-01,1.798258432247357846e-02,2.635730655264394151e-02,-2.052840743528068653e-04,-2.205374350330395732e-04,6.974874052031440402e-05,-5.255946366648508539e-05,3.754840097454158849e-06,1.309215049430253388e-05,-2.088298013979650813e-05,-1.021602460188120176e-03
5.631619732850331813e+06,-3.806483193234557286e+06,1.281073662634594803e+05,2.572157178082739847e+03,4.007651519950411512e+03,5.992841175893227955e+03,2.049372392222243433e-01,8.317128285065595872e-01,4.313781109550290371e-01,2.870467099495049856e-01,1.405196428217700966e-01,1.834191998403830737e-02,2.091857530500909265e-02,9.179789879471316404e-05,-8.076995006303870330e-06,-6.923420682511765537e-05,1.434733607259511983e-04,4.151087563748630420e-06,1.154809905761158393e-05,-2.172147815208716291e-05,-1.083104388003519603e-03
5.632904910311595537e+06,-3.804478758544237819e+06,1.311037661942983104e+05,2.568552529890926053e+03,4.010087027516918624e+03,5.992758227843767600e+03,1.718229408437111361e-01,8.391037308099157377e-01,4.381876483035704317e-01,2.769963197716440728e-01,1.410528953809497554e-01,2.073468084962837299e-02,1.982647543283645383e-02,9.530205668390125562e-05,1.085652103985129311e-04,3.240475133371071794e-05,9.044257787111212624e-05,4.406407573779786273e-06,9.930362339240085247e-06,-2.245326715850573998e-05,-1.147010608180565328e-03
5.634188285243231803e+06,-3.802473106420909055e+06,1.341001241716906661e+05,2.564947059762614572e+03,4.012521251855413084e+03,5.992673362111730967e+03,1.381845509904170988e-01,8.452474684363908697e-01,4.451772301202263082e-01,2.660134426441339572e-01,1.437715716703849289e-01,2.003100424433103960e-02,1.698235124234482446e-02,5.883351788320541294e-05,-3.034052798482040917e-05,-2.239424014206240342e-05,5.476231586521760302e-05,4.731584740217268037e-06,8.154931027647501261e-06,-2.307502462640688616e-05,-1.214971946050802387e-03
